exp;condition;sentence;group;M
actual;4 dots - 4 from red, 3 up;all wugged;control;0
predicted;4 dots - 4 from red, 3 up;all wugged;control;0
actual;4 dots - 4 from red, 3 up;all wugged;no training;0.166666666666667
predicted;4 dots - 4 from red, 3 up;all wugged;no training;0.05
actual;4 dots - 4 from red, 3 up;all wugged;wug=red;0.484848484848485
predicted;4 dots - 4 from red, 3 up;all wugged;wug=red;0.85
actual;4 dots - 4 from red, 3 up;all wugged;wug=upward;0.0833333333333333
predicted;4 dots - 4 from red, 3 up;all wugged;wug=upward;0.05
actual;4 dots - 3 from red, 4 up;all wugged;control;0.551724137931034
predicted;4 dots - 3 from red, 4 up;all wugged;control;0.15
actual;4 dots - 3 from red, 4 up;all wugged;no training;0.851063829787234
predicted;4 dots - 3 from red, 4 up;all wugged;no training;0.7
actual;4 dots - 3 from red, 4 up;all wugged;wug=red;0.275862068965517
predicted;4 dots - 3 from red, 4 up;all wugged;wug=red;0.1
actual;4 dots - 3 from red, 4 up;all wugged;wug=upward;0.837837837837838
predicted;4 dots - 3 from red, 4 up;all wugged;wug=upward;0.4
actual;4 dots - 0 from red, 4 up;all wugged;control;0.2
predicted;4 dots - 0 from red, 4 up;all wugged;control;0.05
actual;4 dots - 0 from red, 4 up;all wugged;no training;0.711111111111111
predicted;4 dots - 0 from red, 4 up;all wugged;no training;0.8
actual;4 dots - 0 from red, 4 up;all wugged;wug=red;0.212121212121212
predicted;4 dots - 0 from red, 4 up;all wugged;wug=red;0.1
actual;4 dots - 0 from red, 4 up;all wugged;wug=upward;0.787878787878788
predicted;4 dots - 0 from red, 4 up;all wugged;wug=upward;0.4
actual;4 dots - 4 from red, 4 up;all wugged;control;0.870967741935484
predicted;4 dots - 4 from red, 4 up;all wugged;control;0.9
actual;4 dots - 4 from red, 4 up;all wugged;no training;0.955555555555556
predicted;4 dots - 4 from red, 4 up;all wugged;no training;0.9
actual;4 dots - 4 from red, 4 up;all wugged;wug=red;0.942857142857143
predicted;4 dots - 4 from red, 4 up;all wugged;wug=red;0.9
actual;4 dots - 4 from red, 4 up;all wugged;wug=upward;0.888888888888889
predicted;4 dots - 4 from red, 4 up;all wugged;wug=upward;0.9
actual;4 dots - 4 from red, 1 down;none wugged ;control;0.115384615384615
predicted;4 dots - 4 from red, 1 down;none wugged ;control;0.05
actual;4 dots - 4 from red, 1 down;none wugged ;no training;0.121951219512195
predicted;4 dots - 4 from red, 1 down;none wugged ;no training;0.05
actual;4 dots - 4 from red, 1 down;none wugged ;wug=red;0.185185185185185
predicted;4 dots - 4 from red, 1 down;none wugged ;wug=red;0.05
actual;4 dots - 4 from red, 1 down;none wugged ;wug=upward;0.108108108108108
predicted;4 dots - 4 from red, 1 down;none wugged ;wug=upward;0.05
actual;4 dots - 3 from red, 4 down;none wugged ;control;0.769230769230769
predicted;4 dots - 3 from red, 4 down;none wugged ;control;0.9
actual;4 dots - 3 from red, 4 down;none wugged ;no training;0.772727272727273
predicted;4 dots - 3 from red, 4 down;none wugged ;no training;0.8
actual;4 dots - 3 from red, 4 down;none wugged ;wug=red;0.428571428571429
predicted;4 dots - 3 from red, 4 down;none wugged ;wug=red;0.1
actual;4 dots - 3 from red, 4 down;none wugged ;wug=upward;0.685714285714286
predicted;4 dots - 3 from red, 4 down;none wugged ;wug=upward;0.4
actual;4 dots - 0 from red, 4 down ;none wugged ;control;0.87
predicted;4 dots - 0 from red, 4 down ;none wugged ;control;0.95
actual;4 dots - 0 from red, 4 down ;none wugged ;no training;0.75
predicted;4 dots - 0 from red, 4 down ;none wugged ;no training;0.8
actual;4 dots - 0 from red, 4 down ;none wugged ;wug=red;0.571428571428571
predicted;4 dots - 0 from red, 4 down ;none wugged ;wug=red;0.9
actual;4 dots - 0 from red, 4 down ;none wugged ;wug=upward;0.735294117647059
predicted;4 dots - 0 from red, 4 down ;none wugged ;wug=upward;0.4
actual;4 dots  - 4 from red, 4 down ;none wugged ;control;0.814814814814815
predicted;4 dots  - 4 from red, 4 down ;none wugged ;control;0.95
actual;4 dots  - 4 from red, 4 down ;none wugged ;no training;0.733333333333333
predicted;4 dots  - 4 from red, 4 down ;none wugged ;no training;0.95
actual;4 dots  - 4 from red, 4 down ;none wugged ;wug=red;0.580645161290323
predicted;4 dots  - 4 from red, 4 down ;none wugged ;wug=red;0.05
actual;4 dots  - 4 from red, 4 down ;none wugged ;wug=upward;0.714285714285714
predicted;4 dots  - 4 from red, 4 down ;none wugged ;wug=upward;0.95